omsid,image_url,width,depth,height,canopy,style,taxonomy
100469543,https://images.homedepot-static.com/productImages/0c06f8d3-b678-4f0d-91da-4058a79c8f22/svn/brushed-nickel-progress-lighting-chandeliers-p5013-09-64_1000.jpg,16.63,16.63,8.88,5.25,Classic,Lighting>Chandeliers
100469634,https://images.homedepot-static.com/productImages/fbc677e4-d0de-4c18-b05e-20ecc1adabe5/svn/white-progress-lighting-chandeliers-p5094-30-64_1000.jpg,16,16,8.25,5.16,Industrial,Lighting>Chandeliers
100469634,https://images.homedepot-static.com/productImages/f39d0274-4cf7-4976-bbca-14eb4aaf90c8/svn/white-progress-lighting-chandeliers-p5094-30-64_1000.jpg,16,16,8.25,5.16,Industrial,Lighting>Chandeliers
100469634,https://images.homedepot-static.com/productImages/6549bf49-bc4d-4715-9465-80409bfd9008/svn/white-progress-lighting-chandeliers-p5094-30-64_1000.jpg,16,16,8.25,5.16,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/b660054a-abf6-4e24-bb83-602e8458f632/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/23560bef-0c61-4c96-8510-8733f2083239/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/e1a9a473-7eb0-4002-b87e-460b8892ce96/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/0c8d6493-4438-4551-89b5-7aba2988cb42/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636663,https://images.homedepot-static.com/productImages/666212cc-95c2-4db6-be78-d82b3b04d415/svn/brushed-nickel-progress-lighting-chandeliers-p5183-09-64_1000.jpg,16,16,13.5,5.5,Industrial,Lighting>Chandeliers
202190243,https://images.homedepot-static.com/productImages/6dcfb431-4abf-4993-99a1-1c95a0a35704/svn/matte-nickel-eglo-chandeliers-20128a-64_1000.jpg,28.35,6.5,59,5,Modern,Lighting>Chandeliers
202275818,https://images.homedepot-static.com/productImages/fd2cd6e4-7d79-4f16-87f5-6774ad963825/svn/distressed-antique-bronze-copper-chandeliers-16557-017-64_1000.jpg,41.5,12,19.25,1,Classic,Lighting>Chandeliers
