omsid,image_url,width,depth,height,canopy,style,taxonomy
100469042,https://images.homedepot-static.com/productImages/ad518833-5ce6-41ff-9663-8068eea7c0f7/svn/brushed-nickel-progress-lighting-chandeliers-p3807-09-64_1000.jpg,13.5,13.5,24,5.5,"Classic,Transitional",Lighting>Chandeliers
100469042,https://images.homedepot-static.com/productImages/f4bca7f5-4fe6-4dd9-bcca-1c9c3f42d19b/svn/brushed-nickel-progress-lighting-chandeliers-p3807-09-64_1000.jpg,13.5,13.5,24,5.5,"Classic,Transitional",Lighting>Chandeliers
100469042,https://images.homedepot-static.com/productImages/e3f59ca4-7476-47b6-b211-fd3f1dba47ea/svn/brushed-nickel-progress-lighting-chandeliers-p3807-09-64_1000.jpg,13.5,13.5,24,5.5,"Classic,Transitional",Lighting>Chandeliers
100469044,https://images.homedepot-static.com/productImages/a6900de7-0971-4da5-ac6f-d8fecc54c4f6/svn/antique-bronze-progress-lighting-chandeliers-p3807-20-64_1000.jpg,13.5,13.5,24,5.5,"Classic,Transitional",Lighting>Chandeliers
100469543,https://images.homedepot-static.com/productImages/0c06f8d3-b678-4f0d-91da-4058a79c8f22/svn/brushed-nickel-progress-lighting-chandeliers-p5013-09-64_1000.jpg,16.63,16.63,8.88,5.25,Classic,Lighting>Chandeliers
100469634,https://images.homedepot-static.com/productImages/fbc677e4-d0de-4c18-b05e-20ecc1adabe5/svn/white-progress-lighting-chandeliers-p5094-30-64_1000.jpg,16,16,8.25,5.16,Industrial,Lighting>Chandeliers
100469634,https://images.homedepot-static.com/productImages/6549bf49-bc4d-4715-9465-80409bfd9008/svn/white-progress-lighting-chandeliers-p5094-30-64_1000.jpg,16,16,8.25,5.16,Industrial,Lighting>Chandeliers
100469634,https://images.homedepot-static.com/productImages/f39d0274-4cf7-4976-bbca-14eb4aaf90c8/svn/white-progress-lighting-chandeliers-p5094-30-64_1000.jpg,16,16,8.25,5.16,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/23560bef-0c61-4c96-8510-8733f2083239/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/e1a9a473-7eb0-4002-b87e-460b8892ce96/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/b660054a-abf6-4e24-bb83-602e8458f632/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636087,https://images.homedepot-static.com/productImages/0c8d6493-4438-4551-89b5-7aba2988cb42/svn/brushed-nickel-progress-lighting-chandeliers-p5182-09-64_1000.jpg,12.63,12.63,11,5.5,Industrial,Lighting>Chandeliers
100636663,https://images.homedepot-static.com/productImages/666212cc-95c2-4db6-be78-d82b3b04d415/svn/brushed-nickel-progress-lighting-chandeliers-p5183-09-64_1000.jpg,16,16,13.5,5.5,Industrial,Lighting>Chandeliers
202190243,https://images.homedepot-static.com/productImages/6dcfb431-4abf-4993-99a1-1c95a0a35704/svn/matte-nickel-eglo-chandeliers-20128a-64_1000.jpg,28.35,6.5,59,5,Modern,Lighting>Chandeliers
202275818,https://images.homedepot-static.com/productImages/fd2cd6e4-7d79-4f16-87f5-6774ad963825/svn/distressed-antique-bronze-copper-chandeliers-16557-017-64_1000.jpg,41.5,12,19.25,1,Classic,Lighting>Chandeliers
202748806,https://images.homedepot-static.com/productImages/37030fc4-876b-4d47-9ba1-1388aad93fea/svn/satin-nickel-yosemite-home-decor-chandeliers-98351-3sn-64_1000.jpg,16.5,16.5,23.5,4.97,"Modern,Transitional",Lighting>Chandeliers
203128942,https://images.homedepot-static.com/productImages/9569274b-92f2-4f31-8420-7b6538696454/svn/chrome-zuo-chandeliers-50026-64_1000.jpg,17.7,17.7,7.5,5.1,Glam,Lighting>Chandeliers
203128942,https://images.homedepot-static.com/productImages/5861d4a7-afce-4316-bac6-bc37eb4970c4/svn/chrome-zuo-chandeliers-50026-64_1000.jpg,17.7,17.7,7.5,5.1,Glam,Lighting>Chandeliers
203128942,https://images.homedepot-static.com/productImages/8a8a1c23-c7d9-4271-9d02-c0bafbaeb506/svn/chrome-zuo-chandeliers-50026-64_1000.jpg,17.7,17.7,7.5,5.1,Glam,Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/193062df-28e6-48b2-9485-3ce138b9d2bf/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/e4dc2072-9d40-4a9c-8e7c-91d406d4e8b6/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/970d3b2a-65d8-4a06-9631-29742d1cc5cf/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/24ec2030-8680-4fb9-84d8-3ea7f2990051/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/c4d4d6e0-8f01-4ffa-9de2-7591280983d0/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/35f04f88-ea42-4766-82a3-9ab4b288ef3a/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203229019,https://images.homedepot-static.com/productImages/42fa94c0-0ad4-45a2-9ea5-56f098ded839/svn/brushed-nickel-progress-lighting-chandeliers-p3931-09-64_1000.jpg,19,19,21.5,5.19,"Classic,Modern,Transitional",Lighting>Chandeliers
203365409,https://images.homedepot-static.com/productImages/1656eb46-1635-403a-884a-704b4f387763/svn/brushed-nickel-livex-lighting-chandeliers-5022-91-64_1000.jpg,14.5 in,0 in,25 in,4.25,"Modern,Transitional",Lighting>Chandeliers
203365409,https://images.homedepot-static.com/productImages/46944023-810b-408d-8eb0-62fd9e2d5650/svn/brushed-nickel-livex-lighting-chandeliers-5022-91-64_1000.jpg,14.5 in,0 in,25 in,4.25,"Modern,Transitional",Lighting>Chandeliers
203365409,https://images.homedepot-static.com/productImages/fde87446-a980-4e73-b0cc-5555d99209b7/svn/brushed-nickel-livex-lighting-chandeliers-5022-91-64_1000.jpg,14.5 in,0 in,25 in,4.25,"Modern,Transitional",Lighting>Chandeliers
203365409,https://images.homedepot-static.com/productImages/80ae5482-c86c-4756-8e2e-062260b8c6e2/svn/brushed-nickel-livex-lighting-chandeliers-5022-91-64_1000.jpg,14.5 in,0 in,25 in,4.25,"Modern,Transitional",Lighting>Chandeliers
203365409,https://images.homedepot-static.com/productImages/fa2711e1-33af-44bb-b94d-4b0c274671fb/svn/brushed-nickel-livex-lighting-chandeliers-5022-91-64_1000.jpg,14.5 in,0 in,25 in,4.25,"Modern,Transitional",Lighting>Chandeliers
203365693,https://images.homedepot-static.com/productImages/3d8acace-319f-4d62-9843-c3a3b72ed904/svn/brushed-nickel-livex-lighting-chandeliers-4229-91-64_1000.jpg,40 in,0 in,38,5,Modern,Lighting>Chandeliers
203365693,https://images.homedepot-static.com/productImages/d83f09f4-dfc0-4b95-b0d3-fd576bc6601d/svn/brushed-nickel-livex-lighting-chandeliers-4229-91-64_1000.jpg,40 in,0 in,38,5,Modern,Lighting>Chandeliers
203365693,https://images.homedepot-static.com/productImages/8a124fd9-ba92-44de-914d-8921dbebcf55/svn/brushed-nickel-livex-lighting-chandeliers-4229-91-64_1000.jpg,40 in,0 in,38,5,Modern,Lighting>Chandeliers
203365693,https://images.homedepot-static.com/productImages/1a770d1c-4d13-4185-8337-6dc3436dadd7/svn/brushed-nickel-livex-lighting-chandeliers-4229-91-64_1000.jpg,40 in,0 in,38,5,Modern,Lighting>Chandeliers
203365722,https://images.homedepot-static.com/productImages/8fc4d7e5-3468-4e0f-9ec5-69d6674f81d9/svn/brushed-nickel-livex-lighting-chandeliers-4253-91-64_1000.jpg,24 in,0 in,18 in,5,Classic,Lighting>Chandeliers
